file_name,hr_file_size,hr_width,hr_height,wr_file_size,wr_width,wr_height
BUL0382_S.jpg,26.2 MB,4821,6000,193.6 KB,401,500
BUL0383_S.jpg,23.4 MB,4783,6000,171.8 KB,398,500
BUL0384_S.jpg,23.5 MB,4911,6000,187.0 KB,409,500
BUL0385_S.jpg,24.7 MB,4793,6000,186.7 KB,399,500
BUL0386_S.jpg,24.0 MB,4723,5968,182.7 KB,395,500
BUL0387_S.jpg,24.0 MB,4778,6000,185.2 KB,398,500
BUL0388_S.jpg,27.7 MB,4500,6269,196.2 KB,358,500
BUL0389_S.jpg,22.9 MB,4782,6000,177.5 KB,398,500
BUL0390_S.jpg,25.2 MB,4776,6000,196.3 KB,398,500
BUL0391_S.jpg,23.0 MB,4752,6000,183.7 KB,396,500
BUL0393_S.jpg,26.0 MB,4658,5946,215.8 KB,391,500
BUL0394_S.jpg,24.6 MB,4635,6000,184.3 KB,386,500
BUL0397_S.jpg,29.1 MB,4804,6000,262.9 KB,400,500
BUL0398_S.jpg,18.4 MB,4608,6000,225.8 KB,384,500
BUL0497_S.jpg,10.5 MB,3750,4950,113.3 KB,378,500
BUL0498_S.jpg,31.3 MB,4794,6000,226.0 KB,399,500
BUL0499_S.jpg,4.0 MB,3300,4200,92.8 KB,392,500
BUL0500_S.jpg,5.0 MB,3900,3900,130.4 KB,499,500
BUL0501_S.jpg,4.2 MB,2990,3900,88.8 KB,383,500
BUL0502_S.jpg,8.6 MB,6900,3000,72.0 KB,500,217
BUL0503_S.jpg,5.1 MB,3960,3960,110.3 KB,500,500
BUL0504_S.jpg,5.1 MB,3750,3900,96.8 KB,480,500
BUL0505_S.jpg,29.8 MB,4896,6026,237.6 KB,406,500
BUL0506_S.jpg,28.1 MB,4850,6000,222.1 KB,404,500
BUL0507_S.jpg,26.6 MB,4713,6000,213.9 KB,392,500
BUL0508_S.jpg,28.5 MB,4500,6314,200.2 KB,356,500
BUL0509_S.jpg,30.7 MB,5280,6000,237.0 KB,440,500
BUL0510_S.jpg,29.6 MB,4796,5952,233.4 KB,402,500
CAR0700_S.jpg,4.4 MB,4842,6900,60.9 KB,350,500
CAR0701_S.jpg,24.3 MB,4500,7624,134.2 KB,295,500
CAR0702_S.jpg,11.0 MB,6000,6224,109.9 KB,482,500
CAR0703_S.jpg,7.6 MB,5286,6000,92.7 KB,440,500
DWH0001_S.jpg,16.4 MB,6000,6000,195.6 KB,500,500
DWH0002_S.jpg,5.3 MB,4500,6000,69.5 KB,375,500
DWH0003_S.jpg,11.1 MB,6000,5392,166.2 KB,500,449
DWH0004_S.jpg,15.5 MB,6000,4500,159.6 KB,500,375
DWH0005_S.jpg,11.8 MB,4500,6000,106.5 KB,375,500
DWH0006_S.jpg,16.8 MB,5632,6000,196.2 KB,469,500
DWH0007_S.jpg,16.8 MB,5632,6000,196.2 KB,469,500
DWH0008_S.jpg,16.8 MB,5632,6000,196.5 KB,469,500
DWH0009_S.jpg,13.2 MB,6000,4554,167.5 KB,500,379
DWH0010_S.jpg,6.5 MB,4500,6000,116.6 KB,375,500
DWH0011_S.jpg,4.3 MB,6365,4500,156.4 KB,500,353
FCO0002_S.jpg,3.9 MB,6000,6000,119.7 KB,500,500
FCO0003_S.jpg,7.6 MB,6009,6000,207.5 KB,500,499
FCO0004_S.jpg,4.2 MB,6000,4636,92.1 KB,500,386
FCO0005_S.jpg,4.5 MB,6000,6000,138.0 KB,500,500
FCO0006_S.jpg,4.7 MB,6000,5999,117.1 KB,500,499
FCO0007_S.jpg,5.4 MB,6900,4652,183.6 KB,500,337
FCO0008_S.jpg,1.9 MB,6000,6000,56.9 KB,500,500
FCO0009_S.jpg,16.2 MB,6000,4636,186.5 KB,500,386
FCO0010_S.jpg,29.4 MB,13029,4500,130.1 KB,500,172
FCO0011_S.jpg,3.7 MB,4595,8099,62.2 KB,283,500
FCO0012_S.jpg,7.1 MB,6000,5443,116.9 KB,500,453
