Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
drawing-of-the-flag-of-venezuela,Drawing of the flag of Venezuela,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0080-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0080_h.jpg?v=1526416102,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-venezuela,,,,,,,,Web-Res .jpg,,,,,ZWI0080-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-the-united-states,Drawing of the flag of the United States,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0079-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0079_h.jpg?v=1526416101,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-the-united-states,,,,,,,,Web-Res .jpg,,,,,ZWI0079-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-uruguay,Drawing of the flag of Uruguay,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0078-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0078_h.jpg?v=1526416100,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-uruguay,,,,,,,,Web-Res .jpg,,,,,ZWI0078-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-united-nations,Drawing of the flag of United Nations,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0077-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0077_h.jpg?v=1526416098,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-united-nations,,,,,,,,Web-Res .jpg,,,,,ZWI0077-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-ukraine,Drawing of the flag of Ukraine,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0076-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0076_h.jpg?v=1526416097,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-ukraine,,,,,,,,Web-Res .jpg,,,,,ZWI0076-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-the-united-kingdom,Drawing of the flag of The United Kingdom,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0075-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0075_h.jpg?v=1526416096,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-the-united-kingdom,,,,,,,,Web-Res .jpg,,,,,ZWI0075-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-turkey,Drawing of the flag of Turkey,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0074-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0074_h.jpg?v=1526416094,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-turkey,,,,,,,,Web-Res .jpg,,,,,ZWI0074-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-tunisia,Drawing of the flag of Tunisia,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0073-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0073_h.jpg?v=1526416093,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-tunisia,,,,,,,,Web-Res .jpg,,,,,ZWI0073-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-thailand,Drawing of the flag of Thailand,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0072-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0072_h.jpg?v=1526416091,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-thailand,,,,,,,,Web-Res .jpg,,,,,ZWI0072-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-syria,Drawing of the flag of Syria,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0071-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0071_h.jpg?v=1526416090,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-syria,,,,,,,,Web-Res .jpg,,,,,ZWI0071-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-switzerland,Drawing of the flag of Switzerland,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0070-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0070_h.jpg?v=1526416089,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-switzerland,,,,,,,,Web-Res .jpg,,,,,ZWI0070-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-sweden,Drawing of the flag of Sweden,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0069-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0069_h.jpg?v=1526416088,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-sweden,,,,,,,,Web-Res .jpg,,,,,ZWI0069-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-spain,Drawing of the flag of Spain,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0068-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0068_h.jpg?v=1526416086,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-spain,,,,,,,,Web-Res .jpg,,,,,ZWI0068-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-south-africa,Drawing of the flag of South Africa,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0067-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0067_h.jpg?v=1526416083,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-south-africa,,,,,,,,Web-Res .jpg,,,,,ZWI0067-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-serbia-montenegro,Drawing of the flag of Serbia & Montenegro,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0066-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0066_h.jpg?v=1526416082,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-serbia-montenegro,,,,,,,,Web-Res .jpg,,,,,ZWI0066-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-saudi-arabia,Drawing of the flag of Saudi Arabia,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0065-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0065_h.jpg?v=1526416080,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-saudi-arabia,,,,,,,,Web-Res .jpg,,,,,ZWI0065-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-russian-federation,Flag of Russian Federation,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0064-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0064_h.jpg?v=1526416079,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-russian-federation,,,,,,,,Web-Res .jpg,,,,,ZWI0064-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-romania,Flag of Romania,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0063-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0063_h.jpg?v=1526416077,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-romania,,,,,,,,Web-Res .jpg,,,,,ZWI0063-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-portugal,Flag of Portugal,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0062-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0062_h.jpg?v=1526416075,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-portugal,,,,,,,,Web-Res .jpg,,,,,ZWI0062-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-poland,Flag of Poland,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0061-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0061_h.jpg?v=1526416074,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-poland,,,,,,,,Web-Res .jpg,,,,,ZWI0061-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-philippines,Flag of Philippines,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0060-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0060_h.jpg?v=1526416072,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-philippines,,,,,,,,Web-Res .jpg,,,,,ZWI0060-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
