Id	Fot	Inv	Dt	Client	Fee	Comm	Conv	Pd Y/N?	Text	Size	Place	Restrict Y/N?	GL Acct
AAV0001	AAV	101784	9/30/2011	PUBPER00	99.3	35	1	Y		0	0	0	41201
AAV0002	AAV	102399	6/30/2014	ALAMYL00	7.5	35	1	Y		0	0	0	41201
AAV0005	AAV	101621	1/31/2011	CORBIS00	8.31	35	1	Y		8	0	0	41201
AAV0006	AAV	101699	12/31/2010	10408600	0.93	35	1	Y		0	0	0	41201
AAV0006	AAV	101700	12/31/2010	10408600	3.13	35	1	Y		0	0	0	41201
AAV0006	AAV	101701	12/31/2010	10408600	2.04	35	1	Y		0	0	0	41201
AAV0006	AAV	101898	3/31/2012	CORBIS00	12.22	35	1	Y		0	0	0	41201
AAV0006	AAV	102532	2/28/2015	CORBIS00	33.75	35	1	Y		0	0	0	41201
AAV0006	AAV	102561	6/30/2015	GETIMA00	0.58	35	1	Y		0	0	0	41201
AAV0007	AAV	101599	12/31/2010	IMAGES00	1.65	35	1	Y		8	0	0	41201
AAV0007	AAV	101624	1/31/2011	IMAGES00	7.17	35	1	Y		8	0	0	41201
AAV0007	AAV	101698	12/31/2010	10408600	0.55	35	1	Y		0	0	0	41201
AAV0007	AAV	101699	12/31/2010	10408600	22.29	35	1	Y		0	0	0	41201
AAV0007	AAV	101699	12/31/2010	10408600	8.74	35	1	Y		0	0	0	41201
AAV0007	AAV	102031	10/31/2012	GETIMA00	9.36	35	1	Y		0	0	0	41201
AAV0009	AAV	101699	12/31/2010	10408600	4.13	35	1	Y		0	0	0	41201
AAV0011	AAV	101697	12/31/2010	10408600	15.63	35	1	Y		0	0	0	41201
AAV0011	AAV	101904	4/30/2012	AGEFOT00	62.5	35	1	N		0	0	0	41201
AAV0012	AAV	101898	3/31/2012	CORBIS00	8.24	35	1	Y		0	0	0	41201
AAV0013	AAV	102007	9/30/2012	CORBIS00	2.22	35	1	Y		0	0	0	41201
AAV0013	AAV	102211	7/31/2013	MASFIL00	105.91	35	1	Y		0	0	0	41201
AAV0013	AAV	102340	2/28/2014	GETIMA00	47.77201	35	1	Y		0	0	0	41201
AAV0013	AAV	102482	1/31/2015	ALAMYL00	11.58	35	1	Y		0	0	0	41201
AAV0014	AAV	101652	2/28/2011	CORBIS00	28.8	35	1	Y		8	0	0	41201
AAV0014	AAV	101652	2/28/2011	CORBIS00	28.8	35	1	N		8	0	0	41201
AAV0014	AAV	101652	2/28/2011	CORBIS00	28.8	35	1	N		8	0	0	41201
AAV0015	AAV	101697	12/31/2010	10408600	3	35	1	Y		0	0	0	41201
AAV0016	AAV	102533	4/30/2015	CORBIS00	96.5	35	1	Y		0	0	0	41201
AAV0019	AAV	101701	12/31/2010	10408600	6.13	35	1	Y		0	0	0	41201
AAV0019	AAV	101784	9/30/2011	PUBPER00	99.3	35	1	Y		0	0	0	41201
ABA0001	ABA	101867	1/31/2012	GETIMA00	12.48	35	1	Y		0	0	0	41201
ABA0001	ABA	101879	2/29/2012	CORBIS00	6.22	35	1	Y		0	0	0	41201
ABA0003	ABA	101879	2/29/2012	CORBIS00	6.22	35	1	Y		0	0	0	41201
ABA0005	ABA	101530	9/30/2010	GETIMA00	65	35	1	Y		8	0	0	41201
ABA0005	ABA	101530	9/30/2010	GETIMA00	4.83	35	1	Y		8	0	0	41201
ABA0005	ABA	101805	10/31/2011	CORBIS00	1.5	35	1	Y		0	0	0	41201
ABA0005	ABA	101814	10/31/2011	GETIMA00	2.71	35	1	Y		0	0	0	41201
